"Is Active","Is Active"
"Name","Name"
"Link Type","Link Type"
"-- Please Select --","-- Please Select --"
"-- Please Select CMS Page --","-- Please Select CMS Page --"
"-- Please Select Category --","-- Please Select Category --"
"Open link in new tab or window","Open link in new tab or window"
"Priority","Priority"
"Value","Value"
"Something went wrong while trying to delete menu item.","Something went wrong while trying to delete menu item."
"Menu item is not available.","Menu item is not available."
"There was menu item move error.","There was menu item move error."
"You moved menu item.","You moved menu item."
"You cannot select yourself as parent. Please select different parent item.","You cannot select yourself as parent. Please select different parent item."
"Something went wrong while saving the menu.","Something went wrong while saving the menu."
"You saved menu item.","You saved menu item."
"Warning message","Warning message"
"Are you sure you want to move item ?","Are you sure you want to move item ?"
"New menu item","New menu item"
"Add item","Add item"
"Delete Item","Delete Item"
"Save Item","Save Item"
"Parent Item","Parent"
"-- None --","-- None --"
"Category Page","Category Page"
"Cms Page","Cms Page"
"Custom link","Custom link"
"Yes","Yes"
"No","No"
"Are you sure you want to do this?","Are you sure you want to do this?"
